project,street,type,district,segment,tenure,commence,sale,area,price,level,date
L'VIV,NEWTON ROAD,Apartment,11,CCR,freehold,,Resale,656.6,1479976.4,26 to 30,Dec-24
HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years,2013.0,Resale,710.42,1329906.24,16 to 20,Dec-24
28 RC SUITES,RACE COURSE LANE,Apartment,8,RCR,freehold,,Resale,430.56,755202.24,06 to 10,Dec-24
SKYSUITES@ANSON,ENGGOR STREET,Apartment,2,CCR,99 years,2008.0,Resale,699.66,1560241.7999999998,41 to 45,Dec-24
THE TRE VER,POTONG PASIR AVENUE 1,Condominium,13,RCR,99 years,2018.0,Resale,742.72,1429736.0,11 to 15,Dec-24
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,Condominium,5,RCR,freehold,,Resale,1453.14,2400587.2800000003,01 to 05,Dec-24
HILLVIEW GREEN,HUME AVENUE,Condominium,21,OCR,freehold,1883.0,Resale,979.52,1608371.84,01 to 05,Dec-24
THE INFLORA,FLORA DRIVE,Condominium,17,OCR,99 years,2012.0,Resale,1108.69,1529992.2000000002,01 to 05,Dec-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,1065.64,2359326.9600000004,06 to 10,Dec-24
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,602.78,1039795.5,11 to 15,Dec-24
THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years,2013.0,Resale,1140.98,2219206.1,01 to 05,Dec-24
BLISS RESIDENCES,JALAN MASJID,Apartment,14,OCR,freehold,,Resale,656.6,950100.2,01 to 05,Dec-24
THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 years,2009.0,Resale,807.3,1428113.7,11 to 15,Dec-24
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,Condominium,23,OCR,99 years,2022.0,New Sale,1044.11,2204116.21,11 to 15,Dec-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,1065.64,2404083.8400000003,16 to 20,Dec-24
OUE TWIN PEAKS,LEONIE HILL ROAD,Condominium,9,CCR,99 years,2010.0,Resale,1399.32,3397548.96,31 to 35,Dec-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1054.87,2220501.3499999996,36 to 40,Dec-24
DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 years,1993.0,Resale,968.76,1399858.2,01 to 05,Dec-24
NAVA GROVE,PINE GROVE,Condominium,21,RCR,99 years,2024.0,New Sale,1108.69,2823833.43,06 to 10,Dec-24
LAGUNA 88,EASTWOOD ROAD,Condominium,16,OCR,99 years,1995.0,Resale,2034.4,2280562.4,01 to 05,Dec-24
FORTUNE JADE,DUNMAN ROAD,Apartment,15,RCR,freehold,,Resale,1097.93,1990547.09,01 to 05,Dec-24
ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2011.0,Resale,1184.04,1869599.16,01 to 05,Dec-24
KOVAN REGENCY,KOVAN RISE,Condominium,19,OCR,99 years,2012.0,Resale,1280.92,2400444.08,06 to 10,Dec-24
SANDY EIGHT,SANDY LANE,Apartment,15,RCR,freehold,,Resale,1044.11,1830324.83,01 to 05,Dec-24
