project,street,type,district,segment,tenure,commence,sale,area,price,level,date
FORETT@BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Sub Sale,721.19,1688305.79,01 to 05,Dec-24
38 I SUITES,IPOH LANE,Apartment,15,RCR,freehold,,Resale,462.85,840072.75,11 to 15,Dec-24
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,990.29,1679531.84,01 to 05,Dec-24
BARTLEY RESIDENCES,LORONG HOW SUN,Apartment,19,OCR,99 years,2011.0,Resale,1065.64,1957580.68,06 to 10,Dec-24
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,3,RCR,99 years,2006.0,Resale,1033.34,1996412.88,26 to 30,Dec-24
THE RED HOUSE,EAST COAST ROAD,Apartment,15,RCR,99 years,2012.0,Resale,914.94,1350451.4400000002,01 to 05,Dec-24
SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 years,2011.0,Resale,2228.15,4099796.0,01 to 05,Dec-24
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,Sub Sale,624.31,970177.74,21 to 25,Dec-24
THE JADE,BUKIT BATOK CENTRAL LINK,Condominium,23,OCR,99 years,2001.0,Resale,1334.74,1919356.12,11 to 15,Dec-24
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,Resale,613.55,1139975.9,21 to 25,Dec-24
THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 years,2009.0,Resale,807.3,1529833.5,06 to 10,Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,710.42,1180007.62,16 to 20,Dec-24
JANSEN 28,JANSEN ROAD,Apartment,19,OCR,freehold,1876.0,Resale,1603.84,1955080.96,01 to 05,Dec-24
FONTAINE PARRY,POH HUAT ROAD,Condominium,19,OCR,freehold,1883.0,Resale,914.94,1399858.2000000002,01 to 05,Dec-24
SIMS MEADOWS,LORONG 33 GEYLANG,Apartment,14,RCR,freehold,,Resale,968.76,1219668.84,01 to 05,Dec-24
TWIN VEW,WEST COAST VALE,Apartment,5,OCR,99 years,2017.0,Resale,1140.98,2130209.66,26 to 30,Dec-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,516.67,1215207.84,16 to 20,Dec-24
THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 years,2009.0,Resale,1872.94,3150285.08,06 to 10,Dec-24
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,1173.28,2400530.88,11 to 15,Dec-24
CLEMENTI PARK,SUNSET WAY,Condominium,21,OCR,freehold,,Resale,1722.24,2559248.64,01 to 05,Dec-24
PINE GROVE,PINE GROVE,Condominium,21,RCR,99 years,1984.0,Resale,1754.53,1824711.2,11 to 15,Dec-24
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,527.44,744745.28,06 to 10,Dec-24
NORTHVALE,CHOA CHU KANG LOOP,Apartment,23,OCR,99 years,1995.0,Resale,1087.16,1150215.28,01 to 05,Dec-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,Apartment,19,OCR,99 years,2018.0,Sub Sale,764.24,1545293.28,11 to 15,Dec-24
BEACON HEIGHTS,MAR THOMA ROAD,Condominium,12,RCR,freehold,1882.0,Resale,1076.4,1710399.6,06 to 10,Dec-24
THE ALPS RESIDENCES,TAMPINES STREET 86,Condominium,18,OCR,99 years,2015.0,Resale,699.66,1034797.14,06 to 10,Dec-24
REGENT RESIDENCES,SERANGOON ROAD,Apartment,12,RCR,freehold,,Resale,688.9,1069861.7,16 to 20,Dec-24
REZI 24,LORONG 24 GEYLANG,Apartment,14,RCR,freehold,,Resale,1184.04,1779612.12,06 to 10,Dec-24
ONE DUCHESS,DUCHESS ROAD,Apartment,10,CCR,freehold,1875.0,Resale,775.01,1960000.29,01 to 05,Dec-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1054.87,1744754.9799999995,01 to 05,Dec-24
PEBBLE BAY,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1994.0,Resale,1367.03,2449717.76,01 to 05,Dec-24
LOYANG VALLEY,LOYANG AVENUE,Condominium,17,OCR,99 years,1982.0,Resale,1872.94,1779293.0,01 to 05,Dec-24
77 @ EAST COAST,UPPER EAST COAST ROAD,Apartment,15,OCR,freehold,,Resale,592.02,1130166.18,01 to 05,Dec-24
RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 years,2001.0,Resale,1248.62,1399703.0199999998,11 to 15,Dec-24
JUPITER 18,LORONG 102 CHANGI,Apartment,15,RCR,freehold,,Resale,387.5,687812.5,01 to 05,Dec-24
MAYFAIR MODERN,RIFLE RANGE ROAD,Condominium,21,RCR,99 years,2018.0,Resale,958.0,2280040.0,06 to 10,Dec-24
PALM GARDENS,HONG SAN WALK,Condominium,23,OCR,99 years,1996.0,Resale,1205.57,1199542.15,06 to 10,Dec-24
BARTLEY VUE,JALAN BUNGA RAMPAI,Apartment,19,RCR,99 years,2020.0,Sub Sale,731.95,1580280.05,11 to 15,Dec-24
BAYOU RESIDENCE,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,freehold,,Resale,904.18,1320102.7999999998,01 to 05,Dec-24
THE COMMODORE,CANBERRA DRIVE,Condominium,27,OCR,99 years,2020.0,Sub Sale,1356.26,2050665.12,01 to 05,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1033.34,2176214.04,21 to 25,Dec-24
THE HILL @ONE-NORTH,SLIM BARRACKS RISE,Apartment,5,RCR,99 years,2022.0,New Sale,764.24,1955690.16,06 to 10,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,731.95,1996027.65,16 to 20,Dec-24
SEASUITES,PASIR PANJANG ROAD,Apartment,5,RCR,freehold,,Resale,516.67,954806.16,01 to 05,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1033.34,2166913.98,21 to 25,Dec-24
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,freehold,,Resale,1216.33,1449865.36,06 to 10,Dec-24
CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 years,2010.0,Resale,1603.84,1653559.0399999998,01 to 05,Dec-24
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,Sub Sale,559.73,1150245.15,06 to 10,Dec-24
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,freehold,,Sub Sale,1140.98,3700198.14,01 to 05,Dec-24
FORESQUE RESIDENCES,PETIR ROAD,Condominium,23,OCR,99 years,2011.0,Resale,1399.32,2224918.8,06 to 10,Dec-24
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,Apartment,6,CCR,99 years,2011.0,Resale,5801.8,19749327.2,11 to 15,Dec-24
GLOBAL VILLE,JALAN RAJA UDANG,Apartment,12,RCR,freehold,,Resale,904.18,1460250.7,11 to 15,Dec-24
THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 years,2009.0,Resale,2055.92,3418994.96,01 to 05,Dec-24
THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 years,2009.0,Resale,1044.11,1769766.4499999995,11 to 15,Dec-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,Apartment,5,RCR,freehold,,Resale,462.85,961802.3,01 to 05,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,1689.95,2749548.65,01 to 05,Dec-24
LENTORIA,LENTOR HILLS ROAD,Condominium,26,OCR,99 years,2022.0,New Sale,1119.46,2497515.26,01 to 05,Dec-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Sub Sale,688.9,1649915.5,01 to 05,Dec-24
KASSIA,FLORA DRIVE,Condominium,17,OCR,freehold,,New Sale,753.48,1605665.88,06 to 10,Dec-24
SUITES AT ORCHARD,HANDY ROAD,Apartment,9,CCR,99 years,2007.0,Resale,548.96,1219789.12,01 to 05,Dec-24
CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 years,2019.0,Sub Sale,958.0,2068322.0,06 to 10,Dec-24
LENTOR MANSION,LENTOR GARDENS,Apartment,26,OCR,99 years,2023.0,New Sale,1227.1,2731524.5999999996,06 to 10,Dec-24
THE TRE VER,POTONG PASIR AVENUE 1,Condominium,13,RCR,99 years,2018.0,Resale,1011.82,2150117.5,16 to 20,Dec-24
HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years,2013.0,Resale,462.85,808136.1000000001,11 to 15,Dec-24
THE LAKEGARDEN RESIDENCES,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,1334.74,2817636.14,01 to 05,Dec-24
LIGHTHOUSE,JALAN LOYANG BESAR,Condominium,17,OCR,99 years,1993.0,Resale,1808.35,1649215.2,01 to 05,Dec-24
RESIDENTIAL APARTMENTS,YONG SIAK STREET,Apartment,3,RCR,freehold,1963.0,Resale,1130.22,2399457.06,01 to 05,Dec-24
KANDIS RESIDENCE,KANDIS LINK,Condominium,27,OCR,99 years,2016.0,Resale,796.54,1119935.24,06 to 10,Dec-24
TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 years,2008.0,Resale,1270.15,2470441.75,16 to 20,Dec-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years,2013.0,Resale,710.42,1059946.64,01 to 05,Dec-24
THE LEVELZ,FARRER ROAD,Condominium,10,CCR,freehold,,Resale,979.52,2130456.0,06 to 10,Dec-24
SILVERSEA,MARINE PARADE ROAD,Condominium,15,RCR,99 years,2007.0,Resale,1582.31,2699420.86,01 to 05,Dec-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,990.29,1588425.16,11 to 15,Dec-24
AVON PARK,YOUNGBERG TERRACE,Condominium,13,RCR,freehold,,Resale,2174.33,3578947.1799999997,01 to 05,Dec-24
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,613.55,890261.0499999999,01 to 05,Dec-24
SOUTHAVEN II,HINDHEDE WALK,Condominium,21,OCR,freehold,1877.0,Resale,1044.11,1649693.7999999998,01 to 05,Dec-24
V ON SHENTON,SHENTON WAY,Apartment,1,CCR,99 years,2011.0,Resale,452.09,980131.12,16 to 20,Dec-24
RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 years,1995.0,Resale,678.13,1184014.98,01 to 05,Dec-24
COSTA RHU,RHU CROSS,Condominium,15,RCR,99 years,1994.0,Resale,2217.38,4210804.62,01 to 05,Dec-24
ONE DUSUN RESIDENCES,JALAN DUSUN,Apartment,12,RCR,freehold,,Resale,667.37,1149878.51,06 to 10,Dec-24
ARTRA,ALEXANDRA VIEW,Apartment,3,RCR,99 years,2016.0,Resale,785.77,1859917.59,21 to 25,Dec-24
SUNGLADE,SERANGOON AVENUE 2,Condominium,19,OCR,99 years,2000.0,Resale,1044.11,1699811.0799999998,06 to 10,Dec-24
THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 years,2010.0,Resale,904.18,1709804.38,01 to 05,Dec-24
EURO-ASIA PARK,WOODLEIGH CLOSE,Condominium,13,RCR,freehold,,Resale,925.7,1590352.6,01 to 05,Dec-24
THE LINCOLN RESIDENCES,SURREY ROAD,Condominium,11,CCR,freehold,,Resale,2088.22,4099175.8599999994,26 to 30,Dec-24
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,freehold,,Resale,818.06,2350286.38,01 to 05,Dec-24
THE LEGEND,BUKIT TIMAH ROAD,Condominium,10,CCR,freehold,,Resale,1453.14,2518291.62,01 to 05,Dec-24
THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 years,2012.0,Resale,731.95,1439745.65,01 to 05,Dec-24
CUSCADEN RESERVE,CUSCADEN ROAD,Condominium,10,CCR,99 years,2018.0,Resale,807.3,2550260.6999999997,26 to 30,Dec-24
MOUNT SOPHIA SUITES,SOPHIA ROAD,Apartment,9,CCR,freehold,,Resale,710.42,1160115.86,01 to 05,Dec-24
1 KING ALBERT PARK,KING ALBERT PARK,Condominium,21,RCR,freehold,,Resale,807.3,1449910.7999999998,01 to 05,Dec-24
CAVENDISH PARK,PINE GROVE,Condominium,21,RCR,99 years,1991.0,Resale,958.0,1674584.0,01 to 05,Dec-24
MY MANHATTAN,SIMEI STREET 3,Condominium,18,OCR,99 years,2010.0,Resale,1151.75,1868138.5,11 to 15,Dec-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,Resale,635.08,948174.44,16 to 20,Dec-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,4,RCR,freehold,,Resale,1291.68,2899821.6,11 to 15,Dec-24
ONE AMBER,AMBER GARDENS,Condominium,15,RCR,freehold,,Resale,2088.22,3249270.32,01 to 05,Dec-24
THE VISION,WEST COAST CRESCENT,Condominium,5,OCR,99 years,2008.0,Resale,904.18,1437646.2,21 to 25,Dec-24
COSTA DEL SOL,BAYSHORE ROAD,Condominium,16,OCR,99 years,1997.0,Resale,1237.86,2280138.1199999996,26 to 30,Dec-24
OLA RESIDENCES,MOUNTBATTEN ROAD,Condominium,15,RCR,freehold,,Resale,2873.99,4408700.659999999,01 to 05,Dec-24
CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,1496.2,1680232.6,01 to 05,Dec-24
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,Sub Sale,710.42,1499696.62,01 to 05,Dec-24
SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,freehold,,Resale,1399.32,3124681.56,06 to 10,Dec-24
PARC KOMO,UPPER CHANGI ROAD NORTH,Apartment,17,OCR,freehold,,Resale,979.52,1739627.52,01 to 05,Dec-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 years,2005.0,Resale,1700.71,2787463.69,01 to 05,Dec-24
CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 years,2019.0,Sub Sale,527.44,979983.52,01 to 05,Dec-24
HORIZON TOWERS,LEONIE HILL,Condominium,9,CCR,99 years,1979.0,Resale,2378.84,3199539.8000000003,06 to 10,Dec-24
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,1011.82,1380122.48,16 to 20,Dec-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,Resale,462.85,770182.4,01 to 05,Dec-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 years,2018.0,Sub Sale,785.77,1519679.18,01 to 05,Dec-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,495.14,910067.32,06 to 10,Dec-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1011.82,1785862.3,06 to 10,Dec-24
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,1065.64,1468451.9200000002,11 to 15,Dec-24
THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 years,2012.0,Resale,635.08,1066299.32,06 to 10,Dec-24
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,1786.82,2169199.48,01 to 05,Dec-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,Resale,613.55,1049784.0499999998,06 to 10,Dec-24
ALESSANDREA,ALEXANDRA ROAD,Apartment,3,RCR,freehold,,Resale,1001.05,2150255.4,06 to 10,Dec-24
NOTTINGHILL SUITES,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Resale,495.14,800146.24,01 to 05,Dec-24
PENANG SERVICE APARTMENTS,LORONG 34 GEYLANG,Apartment,14,RCR,freehold,,Resale,1151.75,1318753.75,01 to 05,Dec-24
PARC BOTANNIA,FERNVALE STREET,Condominium,28,OCR,99 years,2016.0,Resale,785.77,1265089.7,21 to 25,Dec-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1205.57,2000040.63,06 to 10,Dec-24
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1270.15,3685975.3,06 to 10,Dec-24
LENTOR HILLS RESIDENCES,LENTOR HILLS ROAD,Apartment,26,OCR,99 years,2022.0,New Sale,602.78,1333952.14,01 to 05,Dec-24
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,775.01,2007275.9,16 to 20,Dec-24
THE ARDEN,PHOENIX ROAD,Apartment,23,OCR,99 years,2023.0,New Sale,1205.57,2161587.01,01 to 05,Dec-24
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,968.76,2479056.84,11 to 15,Dec-24
HILLHAVEN,HILLVIEW RISE,Condominium,23,OCR,99 years,2023.0,New Sale,958.0,2091314.0,26 to 30,Dec-24
SORA,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,688.9,1406044.9,16 to 20,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1033.34,2149347.1999999997,16 to 20,Dec-24
QUEENS,STIRLING ROAD,Condominium,3,RCR,99 years,1998.0,Resale,1291.68,1980145.44,06 to 10,Dec-24
LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,Resale,2109.74,5649883.72,06 to 10,Dec-24
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,548.96,834968.16,21 to 25,Dec-24
BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,others,1978.0,Resale,1614.6,1600068.6,11 to 15,Dec-24
SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years,2014.0,Resale,914.94,1148249.7,01 to 05,Dec-24
THE HILL @ONE-NORTH,SLIM BARRACKS RISE,Apartment,5,RCR,99 years,2022.0,New Sale,1108.69,2518943.68,11 to 15,Dec-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,Condominium,1,CCR,99 years,2005.0,Resale,2368.08,6299092.8,26 to 30,Dec-24
DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 years,2008.0,Resale,936.47,1419688.52,11 to 15,Dec-24
LUCIDA,SUFFOLK ROAD,Apartment,11,CCR,freehold,,Resale,1323.97,2368582.33,16 to 20,Dec-24
THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years,2013.0,Resale,1011.82,2056018.24,01 to 05,Dec-24
PARQ BELLA,TEMBELING ROAD,Apartment,15,RCR,freehold,,New Sale,1076.4,2543533.2,01 to 05,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,731.95,1818163.8,06 to 10,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,936.47,2446996.11,01 to 05,Dec-24
SOUTHAVEN II,HINDHEDE WALK,Condominium,21,OCR,freehold,1877.0,Resale,2400.37,3319711.71,06 to 10,Dec-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,5,RCR,99 years,2005.0,Resale,839.59,1309760.4,06 to 10,Dec-24
CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 years,2010.0,Resale,1076.4,1288450.8,01 to 05,Dec-24
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1270.15,3685975.3,06 to 10,Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,Apartment,19,OCR,99 years,2017.0,Resale,613.55,1079848.0,01 to 05,Dec-24
PARC BOTANNIA,FERNVALE STREET,Condominium,28,OCR,99 years,2016.0,Resale,430.56,738840.96,11 to 15,Dec-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,2098.98,4670230.5,16 to 20,Dec-24
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,828.83,1259821.6,06 to 10,Dec-24
HILLTOPS,CAIRNHILL CIRCLE,Condominium,9,CCR,freehold,,Resale,1334.74,4324557.6,11 to 15,Dec-24
FORESQUE RESIDENCES,PETIR ROAD,Condominium,23,OCR,99 years,2011.0,Resale,1829.88,2250752.4,01 to 05,Dec-24
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,Resale,613.55,1139975.9,26 to 30,Dec-24
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,441.32,699933.52,06 to 10,Dec-24
FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 years,2011.0,Resale,1054.87,1229978.42,01 to 05,Dec-24
FOREST WOODS,LORONG LEW LIAN,Condominium,19,OCR,99 years,2016.0,Resale,1248.62,2749461.24,11 to 15,Dec-24
CITY REGENCY,ST. MICHAEL'S ROAD,Apartment,12,RCR,freehold,,Resale,484.38,729960.66,01 to 05,Dec-24
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,Resale,1582.31,4680472.9799999995,16 to 20,Dec-24
THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 years,2011.0,Resale,775.01,1199715.48,11 to 15,Dec-24
THE COAST AT SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 years,2006.0,Resale,2335.79,3800330.33,01 to 05,Dec-24
THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,Apartment,27,OCR,99 years,2020.0,Sub Sale,796.54,1449702.8,01 to 05,Dec-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,Sub Sale,635.08,1080271.08,01 to 05,Dec-24
BALESTIER REGENCY,JALAN AMPAS,Apartment,12,RCR,freehold,,Resale,1453.14,2019864.6,01 to 05,Dec-24
ST PATRICK'S LOFT,ST. PATRICK'S ROAD,Apartment,15,OCR,freehold,,Resale,1323.97,2270608.5500000003,01 to 05,Dec-24
BRISTOL LODGE,BRISTOL ROAD,Apartment,8,RCR,freehold,,Resale,968.76,1409545.8,01 to 05,Dec-24
THE INFLORA,FLORA DRIVE,Condominium,17,OCR,99 years,2012.0,Resale,742.72,972963.2,01 to 05,Dec-24
LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years,2012.0,Resale,839.59,1350060.72,01 to 05,Dec-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,Apartment,19,OCR,99 years,2018.0,Sub Sale,764.24,1504788.56,06 to 10,Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,Apartment,19,OCR,99 years,2017.0,Resale,688.9,1249664.6,01 to 05,Dec-24
SIGLAP LODGE,UPPER EAST COAST ROAD,Apartment,15,OCR,freehold,,Resale,1291.68,1849685.76,01 to 05,Dec-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,Condominium,4,CCR,99 years,2006.0,Resale,1270.15,2278649.1,01 to 05,Dec-24
RIVERSIDE 48,ROBERTSON QUAY,Apartment,9,CCR,freehold,,Resale,904.18,1849952.28,06 to 10,Dec-24
ESTA RUBY,GUILLEMARD ROAD,Apartment,14,RCR,freehold,,Resale,1130.22,2050219.08,16 to 20,Dec-24
TRIBECA,KIM SENG ROAD,Condominium,9,CCR,freehold,,Resale,1377.79,3499586.6,11 to 15,Dec-24
DUKES RESIDENCE,DUKE'S ROAD,Apartment,10,CCR,freehold,,Resale,1614.6,3187220.4,01 to 05,Dec-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,Apartment,19,OCR,99 years,2018.0,Sub Sale,764.24,1500203.12,11 to 15,Dec-24
HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 years,2010.0,Resale,1001.05,1200258.95,06 to 10,Dec-24
RESIDENTIAL APARTMENTS,LORONG 27 GEYLANG,Apartment,14,RCR,freehold,,Resale,1237.86,1500286.3199999998,01 to 05,Dec-24
RESIDENTIAL APARTMENTS,LORONG 27 GEYLANG,Apartment,14,RCR,freehold,,Resale,1237.86,1500286.3199999998,01 to 05,Dec-24
BEDOK RESIDENCES,BEDOK NORTH DRIVE,Apartment,16,OCR,99 years,2011.0,Resale,1205.57,2138681.1799999997,06 to 10,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,1237.86,2084556.24,06 to 10,Dec-24
STRATUM,ELIAS ROAD,Condominium,18,OCR,99 years,2012.0,Resale,775.01,1050138.55,01 to 05,Dec-24
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,1399.32,2780448.84,21 to 25,Dec-24
REGENT PARK,JALAN LEMPENG,Condominium,5,OCR,99 years,1993.0,Resale,979.52,1249867.52,01 to 05,Dec-24
THE PEAK@BALMEG,BALMEG HILL,Condominium,5,RCR,freehold,,Resale,2604.89,4360585.859999999,01 to 05,Dec-24
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,26,OCR,99 years,1993.0,Resale,947.23,1195404.26,06 to 10,Dec-24
IVORY HEIGHTS,JURONG EAST STREET 13,Condominium,22,OCR,others,1986.0,Resale,1700.71,1799351.18,16 to 20,Dec-24
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,592.02,909934.74,11 to 15,Dec-24
ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 years,2012.0,Resale,1140.98,1979600.3,11 to 15,Dec-24
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2016.0,Resale,893.41,1798434.3299999998,11 to 15,Dec-24
PALM LODGE,LORONG 37 GEYLANG,Apartment,14,RCR,freehold,,Resale,1237.86,1688441.0399999998,01 to 05,Dec-24
LAGOON VIEW,MARINE PARADE ROAD,Apartment,15,OCR,99 years,1977.0,Resale,1646.89,1699590.4800000002,21 to 25,Dec-24
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,freehold,1885.0,Sub Sale,753.48,1619982.0,06 to 10,Dec-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,Resale,462.85,735005.8,06 to 10,Dec-24
SHELFORD REGENCY,SHELFORD ROAD,Condominium,11,CCR,freehold,,Resale,925.7,2000437.7,01 to 05,Dec-24
RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 years,2001.0,Resale,1248.62,1479614.7,16 to 20,Dec-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 years,2018.0,Sub Sale,1076.4,2219536.8000000003,01 to 05,Dec-24
HILLSTA,PHOENIX ROAD,Condominium,23,OCR,99 years,2011.0,Resale,990.29,1290347.87,01 to 05,Dec-24
RIVERGATE,ROBERTSON QUAY,Apartment,9,CCR,freehold,,Resale,1894.46,5749686.100000001,06 to 10,Dec-24
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,Sub Sale,721.19,1559933.9700000002,16 to 20,Dec-24
